ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,>= 3 FPP Date,>= 10 FPP Date,>= 20 FPP Date,>= 35 FPP Date
294,10,,,,31/05/2010,13/10/2010,,
295,10,,10,,25/04/2010,03/05/2010,03/06/2010,
296,10,10,10,10,18/05/2010,27/05/2010,01/06/2010,04/10/2010
297,,10,9,10,25/05/2010,,,
298,9,8,8,7,18/10/2010,25/10/2010,,
299,9,9,10,,06/08/2010,21/10/2010,,
300,8,,,,26/05/2010,,,
301,,,9,9,13/01/2011,,,
302,9,,,,09/06/2009,14/09/2009,29/09/2009,08/10/2010
303,9,,,,01/06/2010,13/10/2010,,
304,10,10,10,10,28/06/2010,,,
305,9,,,,07/06/2010,10/06/2010,30/06/2010,
306,,,,,19/10/2010,,,
307,9,,,,15/12/2010,17/12/2010,,
308,8,,,,25/10/2010,27/10/2010,31/10/2010,
309,10,8,,,30/11/2010,,,
310,10,10,10,10,12/04/2010,10/05/2010,26/05/2010,31/05/2010
311,,7,10,10,07/03/2010,01/06/2010,01/10/2010,
312,10,,10,10,25/09/2010,29/09/2010,08/10/2010,10/10/2010
313,10,9,10,10,19/06/2010,05/09/2010,13/09/2010,17/09/2010
314,10,10,10,9,22/06/2010,19/10/2010,07/02/2011,
315,,,,,24/09/2010,,,
316,10,,8,,03/05/2010,11/05/2010,22/09/2010,
317,9,9,10,,19/05/2010,25/05/2010,,
318,10,10,10,10,05/05/2010,05/05/2010,09/05/2010,16/05/2010
319,10,,,,13/04/2010,04/06/2010,,
320,10,,,,21/04/2010,23/04/2010,26/04/2010,
321,9,10,9,9,19/01/2011,19/01/2011,19/01/2011,19/01/2011
322,10,10,9,10,01/09/2010,01/09/2010,01/09/2010,01/09/2010
323,10,,,,24/11/2010,24/11/2010,24/11/2010,
324,,,10,,14/05/2010,21/05/2010,01/06/2010,09/10/2010
325,,,10,,16/09/2010,16/09/2010,16/09/2010,15/10/2010
326,,,10,,16/09/2010,16/09/2010,25/09/2010,15/10/2010
327,,,10,,16/09/2010,16/09/2010,16/09/2010,22/11/2010
328,10,10,9,10,13/04/2010,23/04/2010,27/04/2010,19/05/2010
329,10,10,9,,26/03/2010,23/04/2010,03/05/2010,24/05/2010
330,10,10,,10,31/05/2010,02/06/2010,04/06/2010,07/06/2010
331,10,10,10,,01/06/2010,07/06/2010,20/09/2010,28/12/2010
332,10,10,10,10,26/03/2010,18/05/2010,27/09/2010,22/10/2010
333,4,,,,11/10/2010,19/10/2010,26/10/2010,01/11/2010
334,10,10,10,10,05/05/2010,14/05/2010,31/05/2010,18/10/2010
335,9,,,10,11/05/2010,24/05/2010,03/06/2010,
336,10,,9,,20/04/2010,25/05/2010,31/05/2010,
337,10,10,10,10,02/05/2010,31/05/2010,25/10/2010,
338,10,,,,29/04/2010,16/05/2010,27/05/2010,
339,,,,,09/11/2010,15/11/2010,22/11/2010,20/01/2011
340,9,10,9,8,12/10/2010,12/10/2010,12/10/2010,12/10/2010
341,10,10,10,10,06/05/2010,13/05/2010,30/05/2010,13/06/2010
342,10,9,9,10,05/05/2010,06/05/2010,26/05/2010,02/06/2010
343,10,10,10,,21/09/2010,08/10/2010,,
344,10,,10,,09/02/2010,,,
345,,9,9,,22/11/2010,28/11/2010,03/12/2010,08/12/2010
346,10,,,,12/10/2010,20/10/2010,27/10/2010,29/10/2010
347,10,9,10,10,05/05/2010,01/06/2010,,
348,10,10,9,10,11/05/2010,15/09/2010,16/10/2010,
349,9,8,10,9,11/06/2010,25/09/2010,30/09/2010,22/03/2011
350,10,,,,18/11/2010,23/11/2010,01/12/2010,20/01/2011
351,10,10,10,10,17/05/2010,24/05/2010,31/05/2010,24/09/2010
352,10,,,,07/05/2010,07/05/2010,20/10/2010,
353,10,,10,,28/04/2010,28/05/2010,01/10/2010,
354,10,,,,16/09/2010,19/10/2010,29/10/2010,
355,9,8,8,9,09/05/2010,27/05/2010,31/05/2010,16/09/2010
356,,,10,10,24/05/2010,28/05/2010,01/06/2010,03/10/2010
357,10,10,,10,12/05/2010,27/05/2010,03/06/2010,
358,9,9,,,17/05/2010,31/05/2010,08/06/2010,
359,10,10,10,9,23/03/2010,26/03/2010,08/04/2010,
360,10,10,10,9,24/04/2010,24/04/2010,24/04/2010,22/04/2010
361,10,10,,10,23/04/2010,30/04/2010,23/09/2010,
